Merchant,2021-09-12,2021-09-18,2021-09-24
CuffLinks.com,0.03,0.03,0.03
Cupshe,0.015,0.015,0.015
Current Catalog,0.02,0.02,0.02
Current/Elliott,0.05,0.05,0.05
CurrentBody,0.01,0.01,0.01
Cut Maps,0.05,0.05,0.05
Cutter & Buck,0.06,0.06,0.06
Cutters Sports,0.03,0.03,0.03
CyberGhost VPN,0.2,0.2,0.2
Cycle Gear,0.02,0.02,0.02
Cylance,0.25,0.25,0.25
D'Artagnan,0.015,0.015,0.015
DC Shoes,0.015,0.015,0.015
DERMA E,0.035,0.05,0.05
DERMAdoctor,0.075,0.075,0.075
DIFF Eyewear,0.025,0.025,0.025
DKNY,0.075,0.075,0.075
DL1961,0.05,0.05,0.05
DR-HO'S,0.03,0.045,0.045
DS18,0.02,0.02,0.02
DTLR-VILLA,0.015,0.015,0.015
DXL,0.01,0.07,0.01
Daily Steals,0.02,0.02,0.02
Dailygreatness,0.05,0.05,0.05
Dana Rebecca Designs,0.03,0.03,0.03
Dancewear Solution,0.05,0.05,0.05
Dango Products,0.05,0.05,0.05
Danskin,0.04,0.04,
Dansko,0.03,0.03,0.03
Darden Restaurants,0.01,0.01,0.01
Darphin Paris,0.03,0.03,0.03
Das Keyboards,0.05,0.05,0.05
David's Cookies,0.035,0.035,0.035
DavidsTea,0.01,0.01,0.01
DaySpring,,,0.04
DeMarini,0.02,0.02,0.02
Deal Extreme,0.0325,0.0325,0.0325
Deal Genius,0.03,0.03,0.03
Decadent Minimalist,0.05,0.05,0.05
Decluttr,0.035,0.035,0.035
Decor Planet,0.02,0.02,0.02
DecoratorsBest,0.03,0.03,0.03
Deep Discount,0.03,0.03,0.03
DefenAge Skincare,0.05,0.05,0.05
Dell Consumer,0.02,0.02,0.02
Dell Outlet,0.02,0.02,0.08
Dell Refurbished Computers,0.025,0.025,0.025
Dell Technologies For Work,0.02,0.02,0.02
Deluxe,0.03,0.03,0.03
Denby Pottery,0.03,0.015,0.015
Derek Rose,0.02,0.02,0.02
Dermablend,0.04,0.04,0.08
Dermaflash,0.04,0.04,0.04
Dermalogica,0.025,0.025,0.025
Dermstore,0.04,0.08,0.04
Descente Athletic,0.03,0.03,0.03
Desert Essence,0.05,0.05,0.05
Design Within Reach,0.01,0.02,0.01
Design by Humans,0.035,0.035,0.035
Desigual,0.04,0.04,0.04
Dessy Group,0.025,0.025,0.025
Deux par Deux,0.02,0.02,0.02
Di Bruno Bros,0.03,0.03,0.03
Dia & Co,0.03,0.03,0.03
Diane von Furstenberg DVF,0.03,0.03,0.03
Dick's Sporting Goods,0.01,0.03,0.01
Diet Direct,0.05,0.05,0.05
DigitalBuyer.com,0.025,0.025,0.025
Diono,0.02,0.02,0.02
Discount Filter Store,0.025,0.025,0.025
Discount Ramps,0.04,0.04,0.04
Discount School Supply,0.01,0.01,0.01
Discount Surgical,0.04,0.04,0.04
Discount Tire Direct,0.03,0.03,0.03
DiscountContactLenses.com,0.05,0.05,0.05
DiscountFilters.com,0.025,0.025,0.025
DiscountGlasses.com,0.075,0.075,0.075
Discovery Cove,0.025,0.025,0.025
District 5 Boutique,0.08,0.08,0.08
Dockers,0.025,0.025,0.025
Dogeared,0.02,0.02,0.02
Dolce Vita,0.03,0.03,0.03
Dollar General,0.02,0.02,0.02
Dollar Rent-A-Car,0.03,0.03,0.03
Dollar Shave Club,0.05,0.05,0.05
Dollar Tree,0.01,0.01,0.01
DollarDays,0.01,0.01,0.01
Domain.com,0.1,0.1,0.1
Domestify,0.02,0.02,0.02
DonJoy Performance,0.03,0.03,0.03
Dooney & Bourke,0.04,0.04,0.04
Dormify,0.04,0.04,0.04
Dot&Bo,,0.025,0.025
Dr. Axe,0.025,0.025,0.025
Dr. Berg,0.06,0.06,0.06
Dr. Brite,0.025,0.025,0.025
Dr. Comfort,0.03,0.03,0.03
Dr. Fuhrman,0.05,0.05,0.05
Dr. Jart,0.03,0.03,
Dr. Kellyann,0.075,0.075,0.075
Dr. Leonard's Healthcare,0.04,0.04,0.04
Dr. Martens,0.02,0.02,0.02
Dr. Scholl's Foot Care,0.04,0.04,0.04
Dr. Scholls Shoes,0.03,0.03,0.03
Dr. Schulze,0.03,0.03,0.03
Dr. Squatch,0.03,0.03,0.03
Draper James,0.02,0.02,0.02
Draper's & Damon's,0.025,0.025,0.025
Dream Products Catalog,0.04,0.04,0.04
Dreamcloud Mattress,0.06,0.06,0.06
Dress Lily,0.06,0.06,0.06
Driftaway Coffee,0.035,0.035,0.035
