,Date,Source,Merchant,Site,Discount
273,2021-09-24,Rakuten,Belstaff,belstaff.com,
274,2021-09-24,Rakuten,Belt Outlet,beltoutlet.com,0.05
275,2021-09-24,Rakuten,Ben Sherman,bensherman.com,0.055
276,2021-09-24,Rakuten,Ben Soleimani,bensoleimani.com,0.025
277,2021-09-24,Rakuten,Benefit Cosmetics,benefitcosmetics.com,0.02
278,2021-09-24,Rakuten,Bergdorf Goodman,bergdorfgoodman.com,0.1
279,2021-09-24,Rakuten,Beringer,beringer.com,0.035
280,2021-09-24,Rakuten,Besame Cosmetics,besamecosmetics.com,0.05
281,2021-09-24,Rakuten,Bespoke Post,bespokepost.com,12.5
282,2021-09-24,Rakuten,Best Bee Brothers,bestbeebrothers.com,0.05
283,2021-09-24,Rakuten,Best Bully Sticks,bestbullysticks.com,0.03
284,2021-09-24,Rakuten,Best Buy,bestbuy.com,0.01
285,2021-09-24,Rakuten,Best Choice Products,bestchoiceproducts.com,0.01
286,2021-09-24,Rakuten,Best Western Hotels & Resorts,bestwestern.com,0.03
287,2021-09-24,Rakuten,BestBuyEyeGlasses,bestbuyeyeglasses.com,0.05
288,2021-09-24,Rakuten,Betsey Johnson,betseyjohnson.com,0.015
289,2021-09-24,Rakuten,Better World Books,betterworldbooks.com,0.025
290,2021-09-24,Rakuten,Betterbraces.com,betterbraces.com,0.03
291,2021-09-24,Rakuten,Betteridge,betteridge.com,0.03
292,2021-09-24,Rakuten,Beverly Diamonds,beverlydiamonds.com,0.05
293,2021-09-24,Rakuten,Beyond Polish,beyondpolish.com,0.025
294,2021-09-24,Rakuten,Beyond Yoga,beyondyoga.com,0.02
295,2021-09-24,Rakuten,BH Cosmetics,bhcosmetics.com,0.03
296,2021-09-24,Rakuten,BHLDN,bhldn.com,0.01
297,2021-09-24,Rakuten,Big 5 Sporting Goods,big5sportinggoods.com,
298,2021-09-24,Rakuten,Big Bus Tours,bigbustours.com,0.05
299,2021-09-24,Rakuten,Bigstock,bigstock.com,0.02
300,2021-09-24,Rakuten,Bikini.com,bikini.com,0.05
301,2021-09-24,Rakuten,Bill Levkoff,billlevkoff.com,0.04
302,2021-09-24,Rakuten,Billabong,billabong.com,0.015
303,2021-09-24,Rakuten,Binxy Baby,binxybaby.com,0.035
304,2021-09-24,Rakuten,Biochem Protein,biochemprotein.com,0.04
305,2021-09-24,Rakuten,BioClarity,bioclarity.com,0.075
306,2021-09-24,Rakuten,BioSchwartz,bioschwartz.com,0.075
307,2021-09-24,Rakuten,Biossance,biossance.com,0.15
308,2021-09-24,Rakuten,Biotherm,biotherm.com,0.05
309,2021-09-24,Rakuten,Birchbox,birchbox.com,0.03
310,2021-09-24,Rakuten,Bissell,bissell.com,0.01
311,2021-09-24,Rakuten,bistroMD,bistromd.com,17.5
312,2021-09-24,Rakuten,Bite Beauty,bitebeauty.com,0.04
313,2021-09-24,Rakuten,BizChair,bizchair.com,0.015
314,2021-09-24,Rakuten,BJ's,bjs.com,0.015
315,2021-09-24,Rakuten,BJJ Fanatics,bjjfanatics.com,0.02
316,2021-09-24,Rakuten,Blain's Farm and Fleet,blainsfarmandfleet.com,0.015
317,2021-09-24,Rakuten,Blair,blair.com,0.025
318,2021-09-24,Rakuten,Blank NYC,blanknyc.com,0.055
319,2021-09-24,Rakuten,Blenders Eyewear,blenderseyewear.com,0.03
320,2021-09-24,Rakuten,Blendtec,blendtec.com,0.04
321,2021-09-24,Rakuten,Blick Art Materials,dickblick.com,0.015
322,2021-09-24,Rakuten,Blinds.com,blinds.com,0.015
323,2021-09-24,Rakuten,Bliss,bliss.com,0.05
324,2021-09-24,Rakuten,Bloomingdale's,bloomingdales.com,0.02
325,2021-09-24,Rakuten,Bloomist,bloomist.com,0.02
326,2021-09-24,Rakuten,Blooms Today Flowers,bloomstoday.com,0.2
327,2021-09-24,Rakuten,bloomscape,bloomscape.com,0.03
328,2021-09-24,Rakuten,BloomsyBox,bloomsybox.com,7.5
329,2021-09-24,Rakuten,BloomThat,bloomthat.com,
330,2021-09-24,Rakuten,Blue & Cream,blueandcream.com,0.04
331,2021-09-24,Rakuten,Blue Apron,blueapron.com,10.0
332,2021-09-24,Rakuten,Blue Bottle Coffee,bluebottlecoffee.com,0.025
333,2021-09-24,Rakuten,Blue Nile,bluenile.com,0.01
334,2021-09-24,Rakuten,Blue Sky,bluesky.com,0.03
335,2021-09-24,Rakuten,Blue Sky Vitamin,blueskyvitamin.com,0.025
336,2021-09-24,Rakuten,Bluebella,bluebella.com,0.05
337,2021-09-24,Rakuten,Bluebird Botanicals,bluebirdbotanicals.com,0.03
338,2021-09-24,Rakuten,Bluefly,bluefly.com,
339,2021-09-24,Rakuten,Bluehost,bluehost.com,10.0
340,2021-09-24,Rakuten,bluemercury,bluemercury.com,0.1
341,2021-09-24,Rakuten,Blurb,blurb.com,0.01
342,2021-09-24,Rakuten,Bob's Stores,bobstores.com,
343,2021-09-24,Rakuten,boba,boba.com,0.035
344,2021-09-24,Rakuten,Bobbi Brown Cosmetics,bobbibrowncosmetics.com,0.04
345,2021-09-24,Rakuten,Bodega,bdgastore.com,0.015
346,2021-09-24,Rakuten,Boden,boden.com,0.02
347,2021-09-24,Rakuten,The Body Shop,thebodyshop.com,0.08
348,2021-09-24,Rakuten,BodyBio,bodybio.com,0.03
349,2021-09-24,Rakuten,Bodybuilding.com,bodybuilding.com,0.04
350,2021-09-24,Rakuten,Bogner,bogner.com,0.04
351,2021-09-24,Rakuten,Bogs Footwear,bogsfootwear.com,0.025
352,2021-09-24,Rakuten,Bohemian Mama,bohemianmama.com,0.025
353,2021-09-24,Rakuten,Bokksu,bokksu.com,5.0
354,2021-09-24,Rakuten,Boll & Branch,bollandbranch.com,0.02
355,2021-09-24,Rakuten,Bomber Eyewear,bombereyewear.com,0.03
356,2021-09-24,Rakuten,Bon-Ton,bonton.com,
357,2021-09-24,Rakuten,Bona Fide Masks,bonafidemasks.com,0.05
358,2021-09-24,Rakuten,Bonafide,bonafide.com,0.05
359,2021-09-24,Rakuten,Bond No. 9,bond9.com,0.03
360,2021-09-24,Rakuten,Bonobos,bonobos.com,0.015
361,2021-09-24,Rakuten,boohoo,boohoo.com,0.03
362,2021-09-24,Rakuten,boohooMan,boohooman.com,0.035
363,2021-09-24,Rakuten,The Book Depository,thebookdepository.com,0.025
364,2021-09-24,Rakuten,Book Outlet,bookoutlet.com,0.025
365,2021-09-24,Rakuten,Booking.com,booking.com,0.04
366,2021-09-24,Rakuten,BookPal,book-pal.com,0.025
367,2021-09-24,Rakuten,BooksAMillion,booksamillion.com,0.025
368,2021-09-24,Rakuten,BookVIP,bookvip.com,0.03
369,2021-09-24,Rakuten,Boombod,boombod.com,0.05
370,2021-09-24,Rakuten,Boost Mobile,boostmobile.com,0.025
371,2021-09-24,Rakuten,Borghese,borghese.com,0.04
372,2021-09-24,Rakuten,Boscov's,boscovs.com,0.025
373,2021-09-24,Rakuten,Bose,bose.com,0.02
374,2021-09-24,Rakuten,Boston College Bookstore,bostoncollegebookstore.com,0.02
375,2021-09-24,Rakuten,Boston Proper,bostonproper.com,0.03
376,2021-09-24,Rakuten,Botanic Choice,botanicchoice.com,0.09
377,2021-09-24,Rakuten,Bottega Veneta,bottegaveneta.com,
378,2021-09-24,Rakuten,The Bouqs Company,thebouqs.com,0.06
379,2021-09-24,Rakuten,Boutique Rugs,boutiquerugs.com,0.04
380,2021-09-24,Rakuten,Bowflex Shop,bowflexshop.com,0.025
381,2021-09-24,Rakuten,BowlersMart,bowlersmart.com,0.025
382,2021-09-24,Rakuten,Boxed,boxed.com,0.015
383,2021-09-24,Rakuten,BoxLunch,boxlunch.com,0.01
384,2021-09-24,Rakuten,Bradford Exchange,bradfordexchange.com,0.02
385,2021-09-24,Rakuten,Bradford Exchange Checks,bradfordexchangechecks.com,0.1
386,2021-09-24,Rakuten,Brahmin,brahmin.com,0.035
387,2021-09-24,Rakuten,Brain Sensei,brainsensei.com,0.1
388,2021-09-24,Rakuten,Brainiac,brainiacfoods.com,0.03
389,2021-09-24,Rakuten,BrainMD,brainmdhealth.com,0.07
390,2021-09-24,Rakuten,Brandless,brandless.com,0.015
391,2021-09-24,Rakuten,Bravado Designs,bravadodesigns.com,0.03
392,2021-09-24,Rakuten,BRAVO SIERRA,bravosierra.com,0.06
393,2021-09-24,Rakuten,Brentwood Home,brentwoodhome.com,0.05
394,2021-09-24,Rakuten,Briggs & Riley Travelware,briggs-riley.com,0.025
395,2021-09-24,Rakuten,Bright Cellars,brightcellars.com,10.0
396,2021-09-24,Rakuten,Brilliant,brilliant-org.com,5.0
397,2021-09-24,Rakuten,Briogeo,briogeo.com,0.015
398,2021-09-24,Rakuten,British Airways,britishairways.com,0.01
399,2021-09-24,Rakuten,Brochu Walker,brochuwalker.com,0.04
400,2021-09-24,Rakuten,Brodo,brodo.com,0.1
401,2021-09-24,Rakuten,Bronson Vitamins,bronsonvitamins.com,0.05
402,2021-09-24,Rakuten,Brook & York,brookandyork.com,0.05
403,2021-09-24,Rakuten,Brooklinen,brooklinen.com,0.01
404,2021-09-24,Rakuten,Brooks Brothers,brooksbrothers.com,0.03
