Date,Source,Merchant,Site,Discount
2021-09-12,Rakuten,Bargain Junkie,bargainjunkie.com,0.02
2021-09-12,Rakuten,BARK Bright,brightdental.com,10
2021-09-12,Rakuten,BarkBox,barkbox.com,9
2021-09-12,Rakuten,Barkev's,barkevs.com,0.025
2021-09-12,Rakuten,BarkShop,barkshop.com,nan
2021-09-12,Rakuten,Barnes and Noble,barnesandnoble.com,0.01
2021-09-12,Rakuten,Barneys New York,barneysnewyork.com,nan
2021-09-12,Rakuten,Barneys Warehouse,barneyswarehouse.com,nan
2021-09-12,Rakuten,Barron Designs,barrondesigns.com,0.015
2021-09-12,Rakuten,Baseball Savings,baseballsavings.com,0.015
2021-09-12,Rakuten,BaseballMonkey.com,baseballmonkey.com,0.01
2021-09-12,Rakuten,Basepaws,basepaws.com,0.05
2021-09-12,Rakuten,Bass Pro Shops,bassproshops.com,0.07
2021-09-12,Rakuten,BatBnB,batbnb.com,0.025
2021-09-12,Rakuten,Bates Footwear,batesfootwear.com,0.035
2021-09-12,Rakuten,Bath and Body Works,bathandbodyworks.com,nan
2021-09-12,Rakuten,Batteries Plus,batteriesplus.com,0.03
2021-09-12,Rakuten,BauBax,baubax.com,0.05
2021-09-12,Rakuten,BaubleBar,baublebar.com,0.025
2021-09-12,Rakuten,Baxter Blue,baxterblueglasses.com,6
2021-09-12,Rakuten,Baymont by Wyndham,baymontinnandsuites.com,nan
2021-09-12,Rakuten,BBQGuys,bbqguys.com,0.015
2021-09-12,Rakuten,BCBG,bcbg.com,0.02
2021-09-12,Rakuten,Beach Camera,beachcamera.com,0.01
2021-09-12,Rakuten,Beachbody,beachbody.com,nan
2021-09-12,Rakuten,Beadaholique,beadaholique.com,0.035
2021-09-12,Rakuten,Bealls Florida,beallsflorida.com,0.035
2021-09-12,Rakuten,Beam,beamtlc.com,0.05
2021-09-12,Rakuten,Bean Box,beanbox.com,0.045
2021-09-12,Rakuten,Bear Mattress,bearmattress.com,0.025
2021-09-12,Rakuten,Bearaby,bearaby.com,0.045
2021-09-12,Rakuten,Beaulieu Vineyards,bvwines.com,0.035
2021-09-12,Rakuten,BeautifiedYou.com,beautifiedyou.com,0.05
2021-09-12,Rakuten,Beauty Brands,beautybrands.com,0.035
2021-09-12,Rakuten,Beauty By Design,beautybydesign.com,nan
2021-09-12,Rakuten,Beauty Care Choices,beautycarechoices.com,0.05
2021-09-12,Rakuten,Beauty Expert,beautyexpert.com,0.025
2021-09-12,Rakuten,Beauty Pie,beautypie.com,7.5
2021-09-12,Rakuten,Beauty Plus Salon,beautyplussalon.com,0.06
2021-09-12,Rakuten,BeautyBio,beautybio.com,0.03
2021-09-12,Rakuten,Beautyrest,beautyrest.com,0.1
2021-09-12,Rakuten,bebe,bebe.com,0.06
2021-09-12,Rakuten,Becker Professional Education,becker.com,0.035
2021-09-12,Rakuten,Bed Bath and Beyond,bedbathandbeyond.com,0.01
2021-09-12,Rakuten,Bed Threads,bedthreads.com,0.025
2021-09-12,Rakuten,Beekeeper's Naturals,beekeepersnaturals.com,0.03
2021-09-12,Rakuten,Beginning Boutique,beginningboutique.com,0.025
2021-09-12,Rakuten,Belk.com,belk.com,0.02
2021-09-12,Rakuten,Bella Dahl,belladahl.com,0.04
2021-09-12,Rakuten,Bellacor,bellacor.com,0.03
2021-09-12,Rakuten,Bellesa Boutique,bboutique.com,0.06
